test_id,title,description,acceptance_criteria,technical_area,dependencies,uncertainty,project_phase,tooling_context
NEW-001,INT: Held-out estimation case 01,"Implement a medium change spanning multiple components, with meaningful integration and testing in the integration area. Include webhook, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Integration,Some cross-component coordination,Moderate,Late,Routine AI coding assistants
NEW-002,SEC: Held-out estimation case 02,"Implement a large change spanning several subsystems with significant integration risk and unknowns in the security area. Include policy, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Security,Multiple dependencies and coordination,High,Late,Routine AI coding assistants
NEW-003,OBS: Held-out estimation case 03,"Implement a tiny, isolated change with known behavior and negligible uncertainty in the observability area. Include metrics, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Observability,Minimal,Low,Late,Routine AI coding assistants
NEW-004,INF: Held-out estimation case 04,"Implement a bounded change touching a few components with modest testing in the infrastructure area. Include networking, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Infrastructure,Some cross-component coordination,Moderate,Late,Routine AI coding assistants
NEW-005,TEST: Held-out estimation case 05,"Implement a substantial cross-component change with dependencies, edge cases, and technical uncertainty in the testing area. Include integration tests, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Testing,Multiple dependencies and coordination,High,Late,Routine AI coding assistants
NEW-006,API: Held-out estimation case 06,"Implement an exceptional epic-sized change with broad architectural impact, many dependencies, and major uncertainty in the backend/api area. Include service, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Backend/API,Multiple dependencies and coordination,Very High,Late,Routine AI coding assistants
NEW-007,UI: Held-out estimation case 07,"Implement a small localized change with straightforward validation in the frontend area. Include screen, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Frontend,Minimal,Low,Late,Routine AI coding assistants
NEW-008,DATA: Held-out estimation case 08,"Implement a medium change spanning multiple components, with meaningful integration and testing in the data area. Include migration, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Data,Some cross-component coordination,Moderate,Late,Routine AI coding assistants
NEW-009,INT: Held-out estimation case 09,"Implement a large change spanning several subsystems with significant integration risk and unknowns in the integration area. Include webhook, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Integration,Multiple dependencies and coordination,High,Late,Routine AI coding assistants
NEW-010,SEC: Held-out estimation case 10,"Implement a tiny, isolated change with known behavior and negligible uncertainty in the security area. Include policy, backward compatibility, edge-case handling, and automated validation.","Meet functional requirements, preserve compatibility, and pass appropriate automated tests.",Security,Minimal,Low,Late,Routine AI coding assistants
